üstlük;yüzeyacnalo;yüzey acnalo
beğenme;bkaburganme;b kaburga n me
behemehal;behemeproblem;be h eme problem
mutlaka;mutlkocaman;m ut l kocaman
cennet;cenkenred;cen kenred
hisse;kalpse;kalp se
nasip;naşohan;na şohan
zarar;köstekar;köstek ar
bekar;bemeslek;be meslek
subay;sukişi;su kişi
bekaret;bekakara;be k a kara
bekçi;sağlamçi;sağlam çi
gözetçi;hanekasap;hane kasap
karakolcu;kmesafebudakcu;k mesafe budak cu
keşikçi;aptallokla;aptal lokla
beklenen;bekledilav;be k l edilav
muhtemel;muhamrabakel;m uh amrabak el
beklenir;sağlamlenir;sağlam le n ir
beklenmedik;sağlamlenmecnüşüdk;sağlam l en m ecnüşüd k
fevkalade;fevlakırtıelemaum;f ev lakırtı elemaum
hayret;haykara;hay kara
beklenti;sağlamlenti;sağlam l e nti
ümit;ümitos;ü mitos
bekri;sağlamri;sağlam ri
ayyaş;aydöküntü;ay döküntü
bela;delaleta;delalet a
belalı;tepealı;tepe alı
şirret;şirkara;şir kara
belde;eserde;eser de
kasaba;adalevalide;adale valide
mekan;metür;me tür
beledi;nişanecnüşüd;nişan ecnüşüd
yerleşik;yerlmukaddime;y er l mukaddime
